
113664960,Ambulatory Health Centers
208225133,Ambulatory Health Centers
270732049,Ambulatory Health Centers
273109107,Ambulatory Health Centers
464504901,Ambulatory Health Centers
471057047,Ambulatory Health Centers
571196229,Ambulatory Health Centers
711050398,Ambulatory Health Centers
800896381,Ambulatory Health Centers
113664960,Clinics
208225133,Clinics
270732049,Clinics
273109107,Clinics
464504901,Clinics
471057047,Clinics
571196229,Clinics
711050398,Clinics
800896381,Clinics
113664960,Community Clinics
208225133,Community Clinics
270732049,Community Clinics
273109107,Community Clinics
464504901,Community Clinics
471057047,Community Clinics
571196229,Community Clinics
711050398,Community Clinics
800896381,Community Clinics
113664960,Community Health Centers
208225133,Community Health Centers
270732049,Community Health Centers
273109107,Community Health Centers
464504901,Community Health Centers
471057047,Community Health Centers
571196229,Community Health Centers
711050398,Community Health Centers
800896381,Community Health Centers
113664960,Community Health Clinics
208225133,Community Health Clinics
270732049,Community Health Clinics
273109107,Community Health Clinics
464504901,Community Health Clinics
471057047,Community Health Clinics
571196229,Community Health Clinics
711050398,Community Health Clinics
800896381,Community Health Clinics
113664960,Free Clinics
208225133,Free Clinics
270732049,Free Clinics
273109107,Free Clinics
464504901,Free Clinics
471057047,Free Clinics
571196229,Free Clinics
711050398,Free Clinics
800896381,Free Clinics
113664960,Health Centers
208225133,Health Centers
270732049,Health Centers
273109107,Health Centers
464504901,Health Centers
471057047,Health Centers
571196229,Health Centers
711050398,Health Centers
800896381,Health Centers
113664960,Health Clinics
208225133,Health Clinics
270732049,Health Clinics
273109107,Health Clinics
464504901,Health Clinics
471057047,Health Clinics
571196229,Health Clinics
711050398,Health Clinics
800896381,Health Clinics
113664960,Mobile Health Care
208225133,Mobile Health Care
270732049,Mobile Health Care
273109107,Mobile Health Care
464504901,Mobile Health Care
471057047,Mobile Health Care
571196229,Mobile Health Care
711050398,Mobile Health Care
800896381,Mobile Health Care
113664960,Walk-in Clinics
208225133,Walk-in Clinics
270732049,Walk-in Clinics
273109107,Walk-in Clinics
464504901,Walk-in Clinics
471057047,Walk-in Clinics
571196229,Walk-in Clinics
711050398,Walk-in Clinics
800896381,Walk-in Clinics
113738551,Age Restricted Communities
237444259,Age Restricted Communities
273127414,Age Restricted Communities
300186032,Age Restricted Communities
311617841,Age Restricted Communities
311745518,Age Restricted Communities
342021240,Age Restricted Communities
430949537,Age Restricted Communities
430983668,Age Restricted Communities
431129724,Age Restricted Communities
431304716,Age Restricted Communities
431703219,Age Restricted Communities
431844752,Age Restricted Communities
431847159,Age Restricted Communities
431865393,Age Restricted Communities
431889869,Age Restricted Communities
431927856,Age Restricted Communities
431935043,Age Restricted Communities
436072303,Age Restricted Communities
454000626,Age Restricted Communities
454004126,Age Restricted Communities
455115830,Age Restricted Communities
460607728,Age Restricted Communities
463502555,Age Restricted Communities
510158464,Age Restricted Communities
621679142,Age Restricted Communities
752977652,Age Restricted Communities
813073383,Age Restricted Communities
912085884,Age Restricted Communities
113738551,Agency on Aging Apartments
237444259,Agency on Aging Apartments
273127414,Agency on Aging Apartments
300186032,Agency on Aging Apartments
